epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,11120.9,0.46549,0.21819,0.86846,0.99783,0.99602,0.99405,0.87592,0.5992,0.25504,0.92378,0.00318478,0.00318478,0.00318478
97,11258,0.46537,0.21635,0.8637,0.99783,0.99502,0.99405,0.87385,0.60373,0.24879,0.93167,0.00311304,0.00311304,0.00311304
98,11393.9,0.46454,0.21622,0.86458,0.998,0.99492,0.99405,0.87119,0.62625,0.24899,0.9369,0.0030413,0.0030413,0.0030413
99,11517.6,0.46758,0.2168,0.86284,0.999,0.99692,0.99405,0.87374,0.60525,0.23748,0.92591,0.00296957,0.00296957,0.00296957
100,11658.1,0.46446,0.21358,0.86751,0.99801,0.99683,0.99411,0.86985,0.61717,0.24289,0.93399,0.00289783,0.00289783,0.00289783
101,11786.1,0.46184,0.21157,0.86343,0.999,0.99696,0.99405,0.87267,0.6125,0.24068,0.93044,0.00282609,0.00282609,0.00282609
102,11907.4,0.46166,0.21283,0.86126,0.99889,0.99701,0.99406,0.87133,0.60595,0.23825,0.92076,0.00275435,0.00275435,0.00275435
103,12040.9,0.45781,0.21203,0.86248,0.99895,0.99701,0.99413,0.87292,0.61207,0.24178,0.93376,0.00268261,0.00268261,0.00268261
104,12173.9,0.45931,0.21109,0.86922,0.99801,0.9979,0.9941,0.86644,0.62192,0.24572,0.94844,0.00261087,0.00261087,0.00261087
105,12306.9,0.46056,0.21057,0.86313,0.99881,0.99801,0.9941,0.86578,0.61943,0.24246,0.94298,0.00253913,0.00253913,0.00253913
106,12439.7,0.45429,0.20826,0.86302,0.99893,0.99801,0.9941,0.86801,0.60966,0.23979,0.93385,0.00246739,0.00246739,0.00246739
107,12572.3,0.45643,0.20833,0.86171,0.99893,0.99701,0.99408,0.87326,0.59037,0.23236,0.91464,0.00239565,0.00239565,0.00239565
